departamento;X1;X2;X3;X4;X8;X18;X20
Amazonas;290;1;2571;1737;1623;181;76285
Ancash;9018;3;6920;9904;15625;4937;102156
Apurímac;3049;2;1779;1431;1808;2062;54696
Arequipa;11243;0;13390;17503;28868;18404;76675
Ayacucho;7143;2;2639;3134;4166;4963;87986
Cajamarca;15355;6;9930;7112;7346;6572;242243
Callao;14730;22;12728;18562;37432;1163;3041
Cusco;13461;8;7633;9197;14619;2900;157743
Huancavelica;3004;2;993;1147;1527;4389;82900
Huánuco;5648;2;5174;3719;4339;2040;126288
Ica;6610;16;5754;6960;14696;4751;62033
Junín;10129;0;7513;11101;16157;8956;161463
La Libertad;13497;3;17844;15268;26781;12637;138395
Lambayeque;12383;2;12275;11665;14204;784;77638
Lima;152282;457;161532;171936;358287;21132;137829
Loreto;12332;5;8877;5805;8683;1252;106634
Madre de Dios;2527;0;985;1582;1382;5147;8397
Moquegua;3384;0;1194;1539;3587;2454;12621
Pasco;3667;2;1639;1555;3015;8565;38114
Piura;14853;3;13471;14736;24301;3856;158286
Puno;9489;10;4748;5650;7710;15214;210615
San Martín;8542;5;9313;4249;5512;115;150129
Tacna;3984;4;3493;3246;5909;821;18781
Tumbes;2273;1;1719;2653;3110;85;11236
Ucayali;6865;11;4341;3859;6000;326;40309
